student_id,student_name,class_name
S0001,王丹,Class 04
S0002,刘旭,Class 01
S0003,宋超,Class 09
S0004,李敏,Class 08
S0005,郑婷婷,Class 08
S0006,徐萍,Class 05
S0007,廖晨,Class 04
S0008,杨建军,Class 18
S0009,卓雪,Class 03
S0010,李帆,Class 19
S0011,毛燕,Class 14
S0012,姚佳,Class 02
S0013,李英,Class 01
S0014,梁波,Class 03
S0015,田桂兰,Class 07
S0016,万帅,Class 08
S0017,陈云,Class 17
S0018,黄利,Class 20
S0019,魏斌,Class 01
S0020,何丽,Class 18
S0021,孙桂英,Class 07
S0022,叶华,Class 18
S0023,阎玉梅,Class 14
S0024,刘楠,Class 08
S0025,张瑜,Class 15
S0026,樊桂芳,Class 19
S0027,刘艳,Class 09
S0028,姜琳,Class 01
S0029,黄成,Class 06
S0030,李辉,Class 14
S0031,张晨,Class 11
S0032,唐海燕,Class 09
S0033,唐丹丹,Class 05
S0034,边磊,Class 07
S0035,叶玲,Class 11
S0036,李淑兰,Class 04
S0037,孙燕,Class 03
S0038,林宁,Class 13
S0039,贺璐,Class 04
S0040,张瑞,Class 12
S0041,唐小红,Class 12
S0042,李畅,Class 20
S0043,刘秀英,Class 09
S0044,李桂芝,Class 02
S0045,佘阳,Class 15
S0046,潘志强,Class 18
S0047,郭玉华,Class 04
S0048,凌杨,Class 13
S0049,赵柳,Class 03
S0050,庄欣,Class 18
S0051,刘鑫,Class 10
S0052,王娜,Class 20
S0053,王飞,Class 12
S0054,王超,Class 19
S0055,王静,Class 07
S0056,董楠,Class 03
S0057,沈淑华,Class 02
S0058,贾桂荣,Class 08
S0059,李雪梅,Class 10
S0060,周丹丹,Class 03
S0061,袁帅,Class 08
S0062,赵雪,Class 04
S0063,刘坤,Class 13
S0064,李博,Class 09
S0065,孙宇,Class 15
S0066,孟帅,Class 12
S0067,蔡洋,Class 06
S0068,纪静,Class 12
S0069,赵秀华,Class 12
S0070,洪飞,Class 07
S0071,吴冬梅,Class 09
S0072,纪淑英,Class 03
S0073,周桂芝,Class 20
S0074,张红霞,Class 06
S0075,谢飞,Class 18
S0076,王荣,Class 08
S0077,王凤兰,Class 06
S0078,龚波,Class 15
S0079,袁静,Class 13
S0080,李艳,Class 09
S0081,冯婷婷,Class 18
S0082,成文,Class 08
S0083,刘桂珍,Class 11
S0084,袁梅,Class 02
S0085,陈斌,Class 08
S0086,孙帅,Class 02
S0087,何璐,Class 11
S0088,李倩,Class 13
S0089,康洁,Class 09
S0090,张莉,Class 03
S0091,董梅,Class 07
S0092,冉亮,Class 19
S0093,李宁,Class 11
S0094,陈利,Class 07
S0095,张燕,Class 16
S0096,刘鹏,Class 13
S0097,曾丹,Class 15
S0098,王建华,Class 05
S0099,张玉,Class 09
S0100,郑龙,Class 05
S0101,管建国,Class 08
S0102,黎峰,Class 18
S0103,李秀珍,Class 18
S0104,倪刚,Class 09
S0105,张艳,Class 19
S0106,黄桂荣,Class 14
S0107,柯静,Class 19
S0108,甄东,Class 13
S0109,王颖,Class 12
S0110,邹艳,Class 08
S0111,张宁,Class 05
S0112,汤桂香,Class 17
S0113,张桂芳,Class 16
S0114,陈娜,Class 03
S0115,王想,Class 02
S0116,杨波,Class 04
S0117,黄凤兰,Class 05
S0118,余玉英,Class 06
S0119,李秀兰,Class 14
S0120,谢燕,Class 20
S0121,李淑兰,Class 03
S0122,姚玉梅,Class 13
S0123,许凤兰,Class 13
S0124,吴坤,Class 20
S0125,王淑兰,Class 15
S0126,郭岩,Class 17
S0127,周玉英,Class 09
S0128,田佳,Class 18
S0129,林桂荣,Class 01
S0130,赵英,Class 04
S0131,张春梅,Class 18
S0132,冯莉,Class 09
S0133,高伟,Class 11
S0134,陈雪梅,Class 04
S0135,孙玉,Class 10
S0136,林兵,Class 14
S0137,陈颖,Class 06
S0138,江静,Class 15
S0139,刘岩,Class 01
S0140,王丽,Class 09
S0141,邓斌,Class 17
S0142,赵想,Class 06
S0143,胡丽,Class 17
S0144,潘强,Class 04
S0145,石建平,Class 10
S0146,邹丽华,Class 17
S0147,罗佳,Class 20
S0148,李丽华,Class 07
S0149,房玉,Class 05
S0150,雷秀芳,Class 12
S0151,钟淑华,Class 06
S0152,刘艳,Class 18
S0153,汪桂芝,Class 17
S0154,陈宇,Class 01
S0155,刘颖,Class 20
S0156,乔浩,Class 11
S0157,张海燕,Class 16
S0158,程鑫,Class 01
S0159,赵丹丹,Class 04
S0160,王婷婷,Class 12
S0161,岳军,Class 10
S0162,马琴,Class 08
S0163,谭婷婷,Class 02
S0164,朱桂英,Class 08
S0165,朱冬梅,Class 19
S0166,董秀云,Class 03
S0167,陶阳,Class 03
S0168,殷杰,Class 16
S0169,彭亮,Class 03
S0170,张秀兰,Class 18
S0171,杨淑英,Class 05
S0172,杨春梅,Class 05
S0173,崔婷婷,Class 16
S0174,黎桂香,Class 18
S0175,崔鹏,Class 06
S0176,刘波,Class 09
S0177,谭艳,Class 17
S0178,龙建军,Class 20
S0179,李林,Class 14
S0180,孙霞,Class 07
S0181,张林,Class 18
S0182,费宁,Class 07
